shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,cost,time,status,seed
4096,6990,1.1,200,8,2,4,4,5,0.9,-843.2660542840472,0.1,SUCCESS,1
7168,23552,7.5,300,16,16,8,4,10,0.9,-991.1697738112448,0.1,SUCCESS,1
1536,15360,0.1,1,64,4,8,4,5,0.9,-533.810291516102,0.1,SUCCESS,1
1280,14336,3.0,400,4,4,8,4,10,0.9,-453.921908750596,0.1,SUCCESS,1
2560,14336,4.0,400,20,2,4,4,10,0.9,-768.2079465809834,0.1,SUCCESS,1
5632,13312,2.0,1,64,2,8,4,10,0.9,-1014.5470311774372,0.1,SUCCESS,1
4608,6144,8.0,400,24,8,4,4,10,0.9,-908.5272891025988,0.1,SUCCESS,1
3584,51200,1.1,200,24,2,8,10,5,0.9,-770.6863958705877,0.1,SUCCESS,1
768,8192,3.0,100,32,4,4,4,10,0.9,-479.7624487238663,0.1,SUCCESS,1
4096,23552,7.0,200,32,8,4,4,10,0.9,-839.3260733634853,0.1,SUCCESS,1
1536,14336,5.5,300,16,8,4,4,10,0.9,-524.1467490092891,0.1,SUCCESS,1
5632,29696,7.5,1,4,4,4,4,5,0.9,-755.144873340298,0.1,SUCCESS,1
4608,8192,4.0,1,64,8,4,4,10,0.9,-915.4099167846616,0.1,SUCCESS,1
2048,5120,5.5,100,64,16,4,4,10,0.9,-587.0398241972227,0.1,SUCCESS,1
4608,4096,0.1,1,8,4,8,4,10,0.9,-892.6599160512859,0.1,SUCCESS,1
6144,14336,4.0,1,20,16,8,4,10,0.9,-969.7672167660228,0.1,SUCCESS,1
8192,13312,7.0,1,64,1,8,4,5,0.9,-0.0,0.1,SUCCESS,1
7680,14336,4.5,1,24,2,8,10,10,0.9,-965.0717870269332,0.1,SUCCESS,1
5632,19456,2.0,1,24,1,4,4,10,0.9,-924.6589050636164,0.1,SUCCESS,1
7680,13312,7.5,1,32,2,4,4,5,0.9,-885.3389766297986,0.1,SUCCESS,1
6144,15360,2.0,1,24,1,8,4,10,0.9,-926.48472004117,0.1,SUCCESS,1
5120,11264,2.5,1,64,1,8,10,10,0.9,-938.3238164249238,0.1,SUCCESS,1
8192,9216,1.5,1,32,16,4,4,10,0.9,-0.0,0.1,SUCCESS,1
6144,10240,1.5,1,64,16,8,4,10,0.9,-961.144968607282,0.1,SUCCESS,1
5632,12288,5.0,1,64,2,8,4,5,0.9,-892.354509895722,0.1,SUCCESS,1
6656,21504,0.1,1,32,16,8,4,10,0.9,-942.4517193240356,0.1,SUCCESS,1
5120,6144,1.0,1,64,2,8,4,10,0.9,-943.8261277623972,0.1,SUCCESS,1
8192,19456,6.0,100,24,16,8,4,10,0.9,-0.0,0.1,SUCCESS,1
5632,13312,2.0,1,64,1,8,4,5,0.9,-875.8290981270535,0.1,SUCCESS,1
7168,9216,3.0,1,24,2,4,10,10,0.9,-951.6248335425644,0.1,SUCCESS,1
7680,12288,5.5,100,64,16,8,4,10,0.9,-945.5057524193344,0.1,SUCCESS,1
